Fecha,Ciudades,Nombre de la ciudad,Vistas
2025-12-03,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-04,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-05,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-06,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-07,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-08,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-09,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-10,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-11,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",44
2025-12-12,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-13,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-14,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-15,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-16,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-17,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-18,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",13
2025-12-19,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-20,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-21,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-22,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-23,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
